11111111111111111111    // gradient x = -1,   gradient y = -1
11111111110000000001    // gradient x = -1,   gradient y = 1
00000000000000000000    // gradient x = 0,   gradient y = 0
00000000100000000000    // gradient x = 2,   gradient y = 0
11111111100000000000    // gradient x = -2,   gradient y = 0
11111111010000000000    // gradient x = -3,   gradient y = 0
00000000010000000001    // gradient x = 1,   gradient y = 1
11111111010000000000    // gradient x = -3,   gradient y = 0
00000001000000000000    // gradient x = 4,   gradient y = 0
11111111000000000001    // gradient x = -4,   gradient y = 1
11111111110000000000    // gradient x = -1,   gradient y = 0
00000000100000000000    // gradient x = 2,   gradient y = 0
11111111100000000000    // gradient x = -2,   gradient y = 0
00000000000000000000    // gradient x = 0,   gradient y = 0
00000000000000000000    // gradient x = 0,   gradient y = 0
00000000011111111111    // gradient x = 1,   gradient y = -1
00000000011111111111    // gradient x = 1,   gradient y = -1
00000000110000000001    // gradient x = 3,   gradient y = 1
00000001000000000001    // gradient x = 4,   gradient y = 1
00000000100000000000    // gradient x = 2,   gradient y = 0
00000000010000000000    // gradient x = 1,   gradient y = 0
00000001100000000000    // gradient x = 6,   gradient y = 0
00000000000000000000    // gradient x = 0,   gradient y = 0
11111111100000000000    // gradient x = -2,   gradient y = 0
00000000000000000000    // gradient x = 0,   gradient y = 0
11111111110000000000    // gradient x = -1,   gradient y = 0
11111110000000000000    // gradient x = -8,   gradient y = 0
11111101010000000000    // gradient x = -11,   gradient y = 0
11111111100000000000    // gradient x = -2,   gradient y = 0
11111011000000000001    // gradient x = -20,   gradient y = 1
11111100010000000000    // gradient x = -15,   gradient y = 0
11111100100000000000    // gradient x = -14,   gradient y = 0
11111110100000000000    // gradient x = -6,   gradient y = 0
11111111110000000000    // gradient x = -1,   gradient y = 0
00000010001111111111    // gradient x = 8,   gradient y = -1
00000000000000000000    // gradient x = 0,   gradient y = 0
00000000110000000000    // gradient x = 3,   gradient y = 0
00000000100000000000    // gradient x = 2,   gradient y = 0
00000000000000000000    // gradient x = 0,   gradient y = 0
00000001010000000001    // gradient x = 5,   gradient y = 1
11111110111111111111    // gradient x = -5,   gradient y = -1
00000000000000000000    // gradient x = 0,   gradient y = 0
00000001000000000001    // gradient x = 4,   gradient y = 1
11111111110000000001    // gradient x = -1,   gradient y = 1
11111111111111111111    // gradient x = -1,   gradient y = -1
00000000010000000000    // gradient x = 1,   gradient y = 0
11111111110000000000    // gradient x = -1,   gradient y = 0
00000000100000000000    // gradient x = 2,   gradient y = 0
00000000000000000000    // gradient x = 0,   gradient y = 0
11111111001111111111    // gradient x = -4,   gradient y = -1
00000000011111111111    // gradient x = 1,   gradient y = -1
00000000110000000000    // gradient x = 3,   gradient y = 0
00000001000000000001    // gradient x = 4,   gradient y = 1
00000000010000000000    // gradient x = 1,   gradient y = 0
00000001010000000000    // gradient x = 5,   gradient y = 0
11111111010000000000    // gradient x = -3,   gradient y = 0
00000001101111111111    // gradient x = 6,   gradient y = -1
00000000000000000000    // gradient x = 0,   gradient y = 0
11111111110000000000    // gradient x = -1,   gradient y = 0
00000001100000000000    // gradient x = 6,   gradient y = 0
00000000000000000000    // gradient x = 0,   gradient y = 0
11111111000000000000    // gradient x = -4,   gradient y = 0
00000001110000000000    // gradient x = 7,   gradient y = 0
00000000000000000001    // gradient x = 0,   gradient y = 1
00000000010000000000    // gradient x = 1,   gradient y = 0
11111111010000000000    // gradient x = -3,   gradient y = 0
00000000000000000000    // gradient x = 0,   gradient y = 0
00000001010000000000    // gradient x = 5,   gradient y = 0
00000000000000000000    // gradient x = 0,   gradient y = 0
11111111010000000001    // gradient x = -3,   gradient y = 1
11111111110000000000    // gradient x = -1,   gradient y = 0
00000000010000000000    // gradient x = 1,   gradient y = 0
11111111000000000000    // gradient x = -4,   gradient y = 0
00000001000000000000    // gradient x = 4,   gradient y = 0
11111111110000000001    // gradient x = -1,   gradient y = 1
00000000000000000000    // gradient x = 0,   gradient y = 0
